Driver,Team,LapNumber,LapTime,Position,Stint,TyreLife,Compound,FreshTyre,TrackStatus,PitInTime,PitOutTime,IsAccurate,TrackTemp,AirTemp,Humidity,Rainfall,Year,StartingPosition
RAI,Alfa Romeo Racing,38.0,85.133,13.0,551,21.0,MEDIUM,False,1,,,True,48.7,30.1,55.7,False,2020,14.0
GIO,Alfa Romeo Racing,38.0,85.099,14.0,552,17.0,MEDIUM,True,1,,,True,48.7,30.1,55.7,False,2020,20.0
MAG,Haas F1 Team,38.0,85.565,15.0,553,11.0,MEDIUM,False,1,,,True,48.7,30.1,55.7,False,2020,16.0
OCO,Renault,38.0,84.692,16.0,554,4.0,SOFT,True,1,,,True,48.7,30.1,55.7,False,2020,15.0
RUS,Williams,38.0,83.157,17.0,555,3.0,MEDIUM,True,1,,,True,48.7,30.1,55.7,False,2020,18.0
GRO,Haas F1 Team,38.0,83.619,18.0,555,9.0,SOFT,False,1,,,True,48.7,30.1,55.7,False,2020,17.0
LAT,Williams,38.0,84.496,19.0,555,10.0,MEDIUM,True,1,,,True,48.7,30.1,55.7,False,2020,19.0
LEC,Ferrari,38.0,87.517,20.0,556,9.0,MEDIUM,True,1,0 days 01:28:46.441000,,False,48.7,30.1,55.7,False,2020,9.0
HAM,Mercedes,39.0,82.273,1.0,556,16.0,MEDIUM,True,1,,,True,48.7,30.1,55.7,False,2020,1.0
VER,Red Bull Racing,39.0,83.775,2.0,556,18.0,MEDIUM,True,1,,,True,48.7,30.1,55.7,False,2020,3.0
BOT,Mercedes,39.0,83.136,3.0,557,16.0,MEDIUM,True,1,,,True,48.7,30.1,55.7,False,2020,2.0
STR,Racing Point,39.0,84.413,4.0,558,12.0,MEDIUM,True,1,,,True,45.8,29.8,56.7,False,2020,5.0
PER,Racing Point,39.0,84.31,5.0,559,10.0,MEDIUM,True,1,,,True,45.8,29.8,56.7,False,2020,4.0
SAI,McLaren,39.0,84.422,6.0,559,20.0,SOFT,False,1,,,True,45.8,29.8,56.7,False,2020,7.0
GAS,AlphaTauri,39.0,84.63,7.0,560,18.0,MEDIUM,True,1,,,True,45.8,29.8,56.7,False,2020,10.0
NOR,McLaren,39.0,84.047,8.0,560,21.0,SOFT,False,1,,,True,45.8,29.8,56.7,False,2020,8.0
ALB,Red Bull Racing,39.0,87.959,9.0,560,22.0,HARD,True,1,0 days 01:29:08.941000,,False,45.8,29.8,56.7,False,2020,6.0
KVY,AlphaTauri,39.0,83.652,10.0,561,18.0,MEDIUM,True,1,,,True,45.8,29.8,56.7,False,2020,12.0
VET,Ferrari,39.0,83.755,11.0,562,13.0,SOFT,False,1,,,True,45.8,29.8,56.7,False,2020,11.0
RIC,Renault,39.0,84.897,12.0,563,4.0,SOFT,True,1,,,True,45.8,29.8,56.7,False,2020,13.0
RAI,Alfa Romeo Racing,39.0,85.031,13.0,563,22.0,MEDIUM,False,1,,,True,45.8,29.8,56.7,False,2020,14.0
GIO,Alfa Romeo Racing,39.0,87.331,14.0,564,18.0,MEDIUM,True,1,,,True,45.8,29.8,56.7,False,2020,20.0
MAG,Haas F1 Team,39.0,84.546,15.0,565,12.0,MEDIUM,False,1,,,True,45.8,29.8,56.7,False,2020,16.0
OCO,Renault,39.0,84.524,16.0,566,5.0,SOFT,True,1,,,True,45.8,29.8,56.7,False,2020,15.0
RUS,Williams,39.0,84.738,17.0,567,4.0,MEDIUM,True,1,,,True,45.8,29.8,56.7,False,2020,18.0
GRO,Haas F1 Team,39.0,83.509,18.0,567,10.0,SOFT,False,1,,,True,45.8,29.8,56.7,False,2020,17.0
LAT,Williams,39.0,84.621,19.0,567,11.0,MEDIUM,True,1,,,True,44.8,29.5,57.7,False,2020,19.0
HAM,Mercedes,40.0,82.213,1.0,567,17.0,MEDIUM,True,1,,,True,45.8,29.8,56.7,False,2020,1.0
VER,Red Bull Racing,40.0,83.096,2.0,567,19.0,MEDIUM,True,1,,,True,45.8,29.8,56.7,False,2020,3.0
BOT,Mercedes,40.0,83.265,3.0,568,17.0,MEDIUM,True,1,,,True,45.8,29.8,56.7,False,2020,2.0
STR,Racing Point,40.0,84.452,4.0,569,13.0,MEDIUM,True,1,,,True,44.8,29.5,57.7,False,2020,5.0
PER,Racing Point,40.0,84.351,5.0,570,11.0,MEDIUM,True,1,,,True,44.8,29.5,57.7,False,2020,4.0
SAI,McLaren,40.0,84.256,6.0,570,21.0,SOFT,False,1,,,True,44.8,29.5,57.7,False,2020,7.0
GAS,AlphaTauri,40.0,83.082,7.0,571,19.0,MEDIUM,True,1,,,True,44.8,29.5,57.7,False,2020,10.0
NOR,McLaren,40.0,83.563,8.0,571,22.0,SOFT,False,1,,,True,44.8,29.5,57.7,False,2020,8.0
KVY,AlphaTauri,40.0,84.177,9.0,572,19.0,MEDIUM,True,1,,,True,44.8,29.5,57.7,False,2020,12.0
VET,Ferrari,40.0,83.764,10.0,573,14.0,SOFT,False,1,,,True,44.8,29.5,57.7,False,2020,11.0
ALB,Red Bull Racing,40.0,100.933,11.0,574,1.0,MEDIUM,True,1,,0 days 01:29:30.749000,False,44.8,29.5,58.0,False,2020,6.0
RIC,Renault,40.0,88.239,12.0,574,5.0,SOFT,True,1,,,True,44.8,29.5,58.0,False,2020,13.0
RAI,Alfa Romeo Racing,40.0,87.871,13.0,574,23.0,MEDIUM,False,1,,,True,44.8,29.5,58.0,False,2020,14.0
GIO,Alfa Romeo Racing,40.0,84.985,14.0,575,19.0,MEDIUM,True,1,,,True,44.8,29.5,58.0,False,2020,20.0
MAG,Haas F1 Team,40.0,84.848,15.0,576,13.0,MEDIUM,False,1,,,True,44.8,29.5,58.0,False,2020,16.0
OCO,Renault,40.0,84.817,16.0,577,6.0,SOFT,True,1,,,True,44.8,29.5,58.0,False,2020,15.0
RUS,Williams,40.0,85.26,17.0,578,5.0,MEDIUM,True,1,,,True,44.8,29.5,58.0,False,2020,18.0
GRO,Haas F1 Team,40.0,83.714,18.0,578,11.0,SOFT,False,1,,,True,44.8,29.5,58.0,False,2020,17.0
LAT,Williams,40.0,83.981,19.0,578,12.0,MEDIUM,True,1,,,True,44.8,29.5,58.0,False,2020,19.0
HAM,Mercedes,41.0,82.438,1.0,578,18.0,MEDIUM,True,1,,,True,44.8,29.5,57.7,False,2020,1.0
BOT,Mercedes,41.0,83.334,2.0,579,18.0,MEDIUM,True,1,,,True,44.8,29.5,58.0,False,2020,2.0
VER,Red Bull Racing,41.0,86.019,3.0,579,20.0,MEDIUM,True,1,0 days 01:30:55.241000,,False,44.8,29.5,58.0,False,2020,3.0
STR,Racing Point,41.0,84.376,4.0,580,14.0,MEDIUM,True,1,,,True,44.8,29.5,58.0,False,2020,5.0
PER,Racing Point,41.0,84.464,5.0,581,12.0,MEDIUM,True,1,,,True,44.8,29.5,58.0,False,2020,4.0
GAS,AlphaTauri,41.0,84.041,6.0,581,20.0,MEDIUM,True,1,,,True,45.1,29.8,56.4,False,2020,10.0
SAI,McLaren,41.0,87.582,7.0,581,22.0,SOFT,False,1,0 days 01:31:53.996000,,False,45.1,29.8,56.4,False,2020,7.0
NOR,McLaren,41.0,84.031,8.0,581,23.0,SOFT,False,1,,,True,45.1,29.8,56.4,False,2020,8.0
KVY,AlphaTauri,41.0,84.26,9.0,582,20.0,MEDIUM,True,1,,,True,45.1,29.8,56.4,False,2020,12.0
VET,Ferrari,41.0,84.031,10.0,583,15.0,SOFT,False,1,,,True,45.1,29.8,56.4,False,2020,11.0
ALB,Red Bull Racing,41.0,82.194,11.0,584,2.0,MEDIUM,True,1,,,True,45.1,29.8,56.4,False,2020,6.0
RIC,Renault,41.0,84.306,12.0,584,6.0,SOFT,True,1,,,True,45.1,29.8,56.4,False,2020,13.0
RAI,Alfa Romeo Racing,41.0,85.351,13.0,584,24.0,MEDIUM,False,1,,,True,45.1,29.8,56.4,False,2020,14.0
MAG,Haas F1 Team,41.0,84.969,14.0,585,14.0,MEDIUM,False,1,,,True,45.1,29.8,56.4,False,2020,16.0
GIO,Alfa Romeo Racing,41.0,87.515,15.0,585,20.0,MEDIUM,True,1,,,True,45.1,29.8,56.4,False,2020,20.0
OCO,Renault,41.0,85.503,16.0,586,7.0,SOFT,True,1,,,True,45.1,29.8,56.4,False,2020,15.0
RUS,Williams,41.0,84.938,17.0,587,6.0,MEDIUM,True,1,,,True,45.1,29.8,56.4,False,2020,18.0
GRO,Haas F1 Team,41.0,83.837,18.0,587,12.0,SOFT,False,1,,,True,45.1,29.8,56.4,False,2020,17.0
LAT,Williams,41.0,84.459,19.0,587,13.0,MEDIUM,True,1,,,True,45.1,29.8,56.4,False,2020,19.0
HAM,Mercedes,42.0,82.305,1.0,587,19.0,MEDIUM,True,1,,,True,45.1,29.8,56.4,False,2020,1.0
BOT,Mercedes,42.0,81.857,2.0,588,19.0,MEDIUM,True,1,,,True,45.1,29.8,56.4,False,2020,2.0
VER,Red Bull Racing,42.0,99.927,3.0,589,1.0,MEDIUM,True,1,,0 days 01:31:16.837000,False,45.1,29.8,56.4,False,2020,3.0
PER,Racing Point,42.0,84.691,4.0,589,13.0,MEDIUM,True,1,,,True,47.9,29.9,55.8,False,2020,4.0
STR,Racing Point,42.0,87.852,5.0,589,15.0,MEDIUM,True,1,0 days 01:33:15.830000,,False,47.9,29.9,55.8,False,2020,5.0
NOR,McLaren,42.0,84.037,6.0,589,24.0,SOFT,False,1,,,True,47.9,29.9,55.8,False,2020,8.0
GAS,AlphaTauri,42.0,87.358,7.0,590,21.0,MEDIUM,True,1,0 days 01:33:21.023000,,False,47.9,29.9,55.8,False,2020,10.0
KVY,AlphaTauri,42.0,84.37,8.0,591,21.0,MEDIUM,True,1,,,True,47.9,29.9,55.8,False,2020,12.0
VET,Ferrari,42.0,86.151,9.0,592,16.0,SOFT,False,1,,,True,47.9,29.9,55.8,False,2020,11.0
SAI,McLaren,42.0,101.0,10.0,593,1.0,MEDIUM,True,1,,0 days 01:32:16.189000,False,47.9,29.9,55.8,False,2020,7.0
ALB,Red Bull Racing,42.0,84.393,11.0,593,3.0,MEDIUM,True,1,,,True,47.9,29.9,55.8,False,2020,6.0
RIC,Renault,42.0,84.61,12.0,593,7.0,SOFT,True,1,,,True,47.9,29.9,55.8,False,2020,13.0
RAI,Alfa Romeo Racing,42.0,85.333,13.0,593,25.0,MEDIUM,False,1,,,True,47.9,29.9,55.8,False,2020,14.0
MAG,Haas F1 Team,42.0,84.731,14.0,594,15.0,MEDIUM,False,1,,,True,47.9,29.9,55.8,False,2020,16.0
GIO,Alfa Romeo Racing,42.0,85.121,15.0,594,21.0,MEDIUM,True,1,,,True,47.9,30.1,55.3,False,2020,20.0
OCO,Renault,42.0,85.019,16.0,595,8.0,SOFT,True,1,,,True,47.9,30.1,55.3,False,2020,15.0
RUS,Williams,42.0,84.701,17.0,596,7.0,MEDIUM,True,1,,,True,47.9,30.1,55.3,False,2020,18.0
GRO,Haas F1 Team,42.0,83.877,18.0,596,13.0,SOFT,False,1,,,True,47.9,30.1,55.3,False,2020,17.0
LAT,Williams,42.0,84.403,19.0,596,14.0,MEDIUM,True,1,,,True,47.9,30.1,55.3,False,2020,19.0
HAM,Mercedes,43.0,82.129,1.0,596,20.0,MEDIUM,True,1,,,True,47.9,29.9,55.8,False,2020,1.0
BOT,Mercedes,43.0,82.532,2.0,597,20.0,MEDIUM,True,1,,,True,47.9,29.9,55.8,False,2020,2.0
VER,Red Bull Racing,43.0,82.221,3.0,598,2.0,MEDIUM,True,1,,,True,47.9,30.1,55.3,False,2020,3.0
PER,Racing Point,43.0,84.581,4.0,598,14.0,MEDIUM,True,1,,,True,47.9,30.1,55.3,False,2020,4.0
NOR,McLaren,43.0,83.111,5.0,598,25.0,SOFT,False,1,,,True,47.9,30.1,55.3,False,2020,8.0
KVY,AlphaTauri,43.0,84.211,6.0,599,22.0,MEDIUM,True,1,,,True,47.9,30.1,55.3,False,2020,12.0
VET,Ferrari,43.0,83.462,7.0,600,17.0,SOFT,False,1,,,True,48.2,30.1,55.6,False,2020,11.0
STR,Racing Point,43.0,100.974,8.0,601,4.0,SOFT,False,1,,0 days 01:33:38.537000,False,48.2,30.1,55.6,False,2020,5.0
SAI,McLaren,43.0,83.129,9.0,602,2.0,MEDIUM,True,1,,,True,48.2,30.1,55.6,False,2020,7.0
ALB,Red Bull Racing,43.0,83.007,10.0,602,4.0,MEDIUM,True,1,,,True,48.2,30.1,55.6,False,2020,6.0
GAS,AlphaTauri,43.0,102.245,11.0,603,1.0,MEDIUM,True,1,,0 days 01:33:43.413000,False,48.2,30.1,55.6,False,2020,10.0
RIC,Renault,43.0,84.493,12.0,603,8.0,SOFT,True,1,,,True,48.2,30.1,55.6,False,2020,13.0
RAI,Alfa Romeo Racing,43.0,85.342,13.0,603,26.0,MEDIUM,False,1,,,True,48.2,30.1,55.6,False,2020,14.0
MAG,Haas F1 Team,43.0,85.034,14.0,604,16.0,MEDIUM,False,1,,,True,48.2,30.1,55.6,False,2020,16.0
GIO,Alfa Romeo Racing,43.0,85.078,15.0,604,22.0,MEDIUM,True,1,,,True,48.2,30.1,55.6,False,2020,20.0
OCO,Renault,43.0,85.015,16.0,605,9.0,SOFT,True,1,,,True,48.2,30.1,55.6,False,2020,15.0
RUS,Williams,43.0,85.461,17.0,606,8.0,MEDIUM,True,1,,,True,48.2,30.1,55.6,False,2020,18.0
GRO,Haas F1 Team,43.0,85.595,18.0,606,14.0,SOFT,False,1,,,True,48.2,30.1,55.6,False,2020,17.0
LAT,Williams,43.0,84.54,19.0,606,15.0,MEDIUM,True,1,,,True,48.2,30.1,55.6,False,2020,19.0
HAM,Mercedes,44.0,82.141,1.0,606,21.0,MEDIUM,True,1,,,True,47.9,30.1,55.3,False,2020,1.0
BOT,Mercedes,44.0,82.526,2.0,607,21.0,MEDIUM,True,1,,,True,48.2,30.1,55.6,False,2020,2.0
VER,Red Bull Racing,44.0,81.919,3.0,608,3.0,MEDIUM,True,1,,,True,48.2,30.1,55.6,False,2020,3.0
PER,Racing Point,44.0,84.326,4.0,608,15.0,MEDIUM,True,1,,,True,48.2,30.0,56.3,False,2020,4.0
NOR,McLaren,44.0,86.714,5.0,608,26.0,SOFT,False,1,0 days 01:36:08.882000,,False,48.2,30.0,56.3,False,2020,8.0
KVY,AlphaTauri,44.0,85.774,6.0,609,23.0,MEDIUM,True,1,,,True,48.2,30.0,56.3,False,2020,12.0
VET,Ferrari,44.0,83.975,7.0,610,18.0,SOFT,False,1,,,True,48.2,30.0,56.3,False,2020,11.0
STR,Racing Point,44.0,83.259,8.0,611,5.0,SOFT,False,1,,,True,48.2,30.0,56.3,False,2020,5.0
SAI,McLaren,44.0,83.799,9.0,612,3.0,MEDIUM,True,1,,,True,48.2,30.0,56.3,False,2020,7.0
ALB,Red Bull Racing,44.0,83.466,10.0,612,5.0,MEDIUM,True,1,,,True,48.2,30.0,56.3,False,2020,6.0
GAS,AlphaTauri,44.0,82.543,11.0,613,2.0,MEDIUM,True,1,,,True,48.2,30.0,56.3,False,2020,10.0
RIC,Renault,44.0,83.99,12.0,613,9.0,SOFT,True,1,,,True,48.2,30.0,56.3,False,2020,13.0
MAG,Haas F1 Team,44.0,85.383,13.0,613,17.0,MEDIUM,False,1,,,True,48.2,30.0,56.3,False,2020,16.0
GIO,Alfa Romeo Racing,44.0,85.259,14.0,613,23.0,MEDIUM,True,1,,,True,48.2,30.0,56.3,False,2020,20.0
RAI,Alfa Romeo Racing,44.0,89.319,15.0,613,27.0,MEDIUM,False,1,0 days 01:36:41.667000,,False,48.2,30.0,56.3,False,2020,14.0
OCO,Renault,44.0,85.6,16.0,614,10.0,SOFT,True,1,,,True,48.2,30.0,56.3,False,2020,15.0
RUS,Williams,44.0,86.257,17.0,615,9.0,MEDIUM,True,1,,,True,48.2,30.0,56.3,False,2020,18.0
GRO,Haas F1 Team,44.0,84.409,18.0,615,15.0,SOFT,False,1,,,True,48.2,30.0,56.3,False,2020,17.0
LAT,Williams,44.0,85.052,19.0,615,16.0,MEDIUM,True,1,,,True,46.3,29.8,56.8,False,2020,19.0
HAM,Mercedes,45.0,81.539,1.0,615,22.0,MEDIUM,True,1,,,True,48.2,30.0,56.3,False,2020,1.0
BOT,Mercedes,45.0,83.206,2.0,616,22.0,MEDIUM,True,1,,,True,48.2,30.0,56.3,False,2020,2.0
VER,Red Bull Racing,45.0,83.114,3.0,617,4.0,MEDIUM,True,1,,,True,48.2,30.0,56.3,False,2020,3.0
PER,Racing Point,45.0,83.885,4.0,617,16.0,MEDIUM,True,1,,,True,46.3,29.8,56.8,False,2020,4.0
VET,Ferrari,45.0,84.115,5.0,617,19.0,SOFT,False,1,,,True,46.3,29.8,56.8,False,2020,11.0
KVY,AlphaTauri,45.0,88.586,6.0,617,24.0,MEDIUM,True,1,0 days 01:37:41.918000,,False,46.3,29.8,56.8,False,2020,12.0
STR,Racing Point,45.0,83.084,7.0,618,6.0,SOFT,False,1,,,True,46.3,29.8,56.8,False,2020,5.0
SAI,McLaren,45.0,83.323,8.0,619,4.0,MEDIUM,True,1,,,True,46.3,29.8,56.8,False,2020,7.0
ALB,Red Bull Racing,45.0,85.256,9.0,619,6.0,MEDIUM,True,1,,,True,46.3,29.8,56.8,False,2020,6.0
GAS,AlphaTauri,45.0,83.544,10.0,620,3.0,MEDIUM,True,1,,,True,46.3,29.8,56.8,False,2020,10.0
NOR,McLaren,45.0,101.429,11.0,621,1.0,MEDIUM,True,1,,0 days 01:36:30.626000,False,46.3,29.7,57.3,False,2020,8.0
RIC,Renault,45.0,84.263,12.0,621,10.0,SOFT,True,1,,,True,46.3,29.7,57.3,False,2020,13.0
MAG,Haas F1 Team,45.0,84.01,13.0,621,18.0,MEDIUM,False,1,,,True,46.3,29.7,57.3,False,2020,16.0
OCO,Renault,45.0,86.222,14.0,622,11.0,SOFT,True,1,,,True,46.3,29.7,57.3,False,2020,15.0
RUS,Williams,45.0,85.058,15.0,623,10.0,MEDIUM,True,1,,,True,46.3,29.7,57.3,False,2020,18.0
GRO,Haas F1 Team,45.0,84.657,16.0,623,16.0,SOFT,False,1,,,True,46.3,29.7,57.3,False,2020,17.0
GIO,Alfa Romeo Racing,45.0,90.045,17.0,623,24.0,MEDIUM,True,1,0 days 01:38:10.975000,,False,46.3,29.7,57.3,False,2020,20.0
LAT,Williams,45.0,83.911,18.0,624,17.0,MEDIUM,True,1,,,True,46.3,29.7,57.3,False,2020,19.0
RAI,Alfa Romeo Racing,45.0,101.351,19.0,625,1.0,SOFT,True,1,,0 days 01:37:03.872000,False,46.3,29.7,57.3,False,2020,14.0
HAM,Mercedes,46.0,82.064,1.0,625,23.0,MEDIUM,True,1,,,True,46.3,29.8,56.8,False,2020,1.0
BOT,Mercedes,46.0,82.821,2.0,626,23.0,MEDIUM,True,1,,,True,46.3,29.8,56.8,False,2020,2.0
VER,Red Bull Racing,46.0,82.1,3.0,627,5.0,MEDIUM,True,1,,,True,46.3,29.7,57.3,False,2020,3.0
PER,Racing Point,46.0,84.518,4.0,627,17.0,MEDIUM,True,1,,,True,46.4,29.7,56.7,False,2020,4.0
VET,Ferrari,46.0,83.581,5.0,627,20.0,SOFT,False,1,,,True,46.4,29.7,56.7,False,2020,11.0
STR,Racing Point,46.0,83.162,6.0,628,7.0,SOFT,False,1,,,True,46.4,29.7,56.7,False,2020,5.0
SAI,McLaren,46.0,83.455,7.0,629,5.0,MEDIUM,True,1,,,True,46.4,29.7,56.7,False,2020,7.0
ALB,Red Bull Racing,46.0,83.431,8.0,629,7.0,MEDIUM,True,1,,,True,46.4,29.7,56.7,False,2020,6.0
GAS,AlphaTauri,46.0,83.637,9.0,630,4.0,MEDIUM,True,1,,,True,46.4,29.7,56.7,False,2020,10.0
NOR,McLaren,46.0,83.404,10.0,631,2.0,MEDIUM,True,1,,,True,46.4,29.7,56.7,False,2020,8.0
RIC,Renault,46.0,83.446,11.0,631,11.0,SOFT,True,1,,,True,46.4,29.7,56.7,False,2020,13.0
KVY,AlphaTauri,46.0,101.148,12.0,632,1.0,MEDIUM,True,1,,0 days 01:38:03.976000,False,46.4,29.7,56.7,False,2020,12.0
MAG,Haas F1 Team,46.0,85.846,13.0,632,19.0,MEDIUM,False,1,,,True,46.4,29.7,56.7,False,2020,16.0
OCO,Renault,46.0,83.775,14.0,633,12.0,SOFT,True,1,,,True,46.4,29.7,56.7,False,2020,15.0
RUS,Williams,46.0,83.843,15.0,634,11.0,MEDIUM,True,1,,,True,46.4,29.7,56.7,False,2020,18.0
GRO,Haas F1 Team,46.0,84.599,16.0,634,17.0,SOFT,False,1,,,True,46.4,29.7,56.7,False,2020,17.0
LAT,Williams,46.0,83.794,17.0,634,18.0,MEDIUM,True,1,,,True,46.4,29.7,56.7,False,2020,19.0
RAI,Alfa Romeo Racing,46.0,82.191,18.0,635,2.0,SOFT,True,1,,,True,46.4,29.7,56.7,False,2020,14.0
GIO,Alfa Romeo Racing,46.0,100.982,19.0,636,1.0,SOFT,True,1,,0 days 01:38:32.766000,False,47.1,29.7,56.8,False,2020,20.0
HAM,Mercedes,47.0,82.149,1.0,636,24.0,MEDIUM,True,1,,,True,46.4,29.7,56.7,False,2020,1.0
BOT,Mercedes,47.0,83.068,2.0,637,24.0,MEDIUM,True,1,,,True,46.4,29.7,56.7,False,2020,2.0
VER,Red Bull Racing,47.0,82.609,3.0,638,6.0,MEDIUM,True,1,,,True,46.4,29.7,56.7,False,2020,3.0
PER,Racing Point,47.0,84.813,4.0,638,18.0,MEDIUM,True,1,,,True,47.1,29.7,56.8,False,2020,4.0
VET,Ferrari,47.0,83.226,5.0,638,21.0,SOFT,False,1,,,True,47.1,29.7,56.8,False,2020,11.0
STR,Racing Point,47.0,83.188,6.0,639,8.0,SOFT,False,1,,,True,47.1,29.7,56.8,False,2020,5.0
SAI,McLaren,47.0,83.142,7.0,640,6.0,MEDIUM,True,1,,,True,47.1,29.7,56.8,False,2020,7.0
ALB,Red Bull Racing,47.0,83.563,8.0,640,8.0,MEDIUM,True,1,,,True,47.1,29.7,56.8,False,2020,6.0
GAS,AlphaTauri,47.0,83.33,9.0,641,5.0,MEDIUM,True,1,,,True,47.1,29.7,56.8,False,2020,10.0
NOR,McLaren,47.0,83.401,10.0,642,3.0,MEDIUM,True,1,,,True,47.1,29.7,56.8,False,2020,8.0
RIC,Renault,47.0,83.625,11.0,642,12.0,SOFT,True,1,,,True,47.1,29.7,56.8,False,2020,13.0
KVY,AlphaTauri,47.0,82.336,12.0,643,2.0,MEDIUM,True,1,,,True,47.1,29.7,56.8,False,2020,12.0
MAG,Haas F1 Team,47.0,84.253,13.0,643,20.0,MEDIUM,False,1,,,True,46.6,29.5,57.2,False,2020,16.0
OCO,Renault,47.0,83.871,14.0,644,13.0,SOFT,True,1,,,True,46.6,29.5,57.2,False,2020,15.0
RUS,Williams,47.0,84.522,15.0,645,12.0,MEDIUM,True,1,,,True,46.6,29.5,57.2,False,2020,18.0
GRO,Haas F1 Team,47.0,83.851,16.0,645,18.0,SOFT,False,1,,,True,46.6,29.5,57.2,False,2020,17.0
LAT,Williams,47.0,83.699,17.0,645,19.0,MEDIUM,True,1,,,True,46.6,29.5,57.2,False,2020,19.0
RAI,Alfa Romeo Racing,47.0,81.888,18.0,646,3.0,SOFT,True,1,,,True,46.6,29.5,57.2,False,2020,14.0
GIO,Alfa Romeo Racing,47.0,81.801,19.0,647,2.0,SOFT,True,1,,,True,46.6,29.5,57.2,False,2020,20.0
HAM,Mercedes,48.0,83.063,1.0,647,25.0,MEDIUM,True,1,,,True,47.1,29.7,56.8,False,2020,1.0
BOT,Mercedes,48.0,86.658,2.0,648,25.0,MEDIUM,True,1,0 days 01:40:36.830000,,False,47.1,29.7,56.8,False,2020,2.0
VER,Red Bull Racing,48.0,81.851,3.0,649,7.0,MEDIUM,True,1,,,True,47.1,29.7,56.8,False,2020,3.0
PER,Racing Point,48.0,85.244,4.0,649,19.0,MEDIUM,True,1,,,True,46.6,29.5,57.2,False,2020,4.0
VET,Ferrari,48.0,82.707,5.0,649,22.0,SOFT,False,1,,,True,46.6,29.5,57.2,False,2020,11.0
STR,Racing Point,48.0,82.699,6.0,650,9.0,SOFT,False,1,,,True,45.5,29.1,58.7,False,2020,5.0
SAI,McLaren,48.0,83.564,7.0,651,7.0,MEDIUM,True,1,,,True,45.5,29.1,58.7,False,2020,7.0
ALB,Red Bull Racing,48.0,82.776,8.0,651,9.0,MEDIUM,True,1,,,True,45.5,29.1,58.7,False,2020,6.0
GAS,AlphaTauri,48.0,83.356,9.0,652,6.0,MEDIUM,True,1,,,True,45.5,29.1,58.7,False,2020,10.0
NOR,McLaren,48.0,83.417,10.0,653,4.0,MEDIUM,True,1,,,True,45.5,29.1,58.7,False,2020,8.0
RIC,Renault,48.0,83.025,11.0,653,13.0,SOFT,True,1,,,True,45.5,29.1,58.7,False,2020,13.0
KVY,AlphaTauri,48.0,82.476,12.0,654,3.0,MEDIUM,True,1,,,True,45.5,29.1,58.7,False,2020,12.0
MAG,Haas F1 Team,48.0,83.956,13.0,654,21.0,MEDIUM,False,1,,,True,45.5,29.1,58.7,False,2020,16.0
OCO,Renault,48.0,84.401,14.0,655,14.0,SOFT,True,1,,,True,45.5,29.1,58.7,False,2020,15.0
RUS,Williams,48.0,84.294,15.0,656,13.0,MEDIUM,True,1,,,True,45.5,29.1,58.7,False,2020,18.0
GRO,Haas F1 Team,48.0,84.338,16.0,656,19.0,SOFT,False,1,,,True,45.5,29.1,58.7,False,2020,17.0
LAT,Williams,48.0,85.181,17.0,656,20.0,MEDIUM,True,1,,,True,45.5,29.1,58.7,False,2020,19.0
RAI,Alfa Romeo Racing,48.0,83.112,18.0,657,4.0,SOFT,True,1,,,True,45.5,29.1,58.7,False,2020,14.0
GIO,Alfa Romeo Racing,48.0,82.614,19.0,658,3.0,SOFT,True,1,,,True,45.5,29.1,58.7,False,2020,20.0
HAM,Mercedes,49.0,81.954,1.0,658,26.0,MEDIUM,True,1,,,True,46.6,29.5,57.2,False,2020,1.0
VER,Red Bull Racing,49.0,81.732,2.0,659,8.0,MEDIUM,True,1,,,True,45.5,29.1,58.7,False,2020,3.0
BOT,Mercedes,49.0,101.004,3.0,660,4.0,SOFT,False,1,,0 days 01:40:58.951000,False,45.5,29.1,58.7,False,2020,2.0
PER,Racing Point,49.0,84.02,4.0,660,20.0,MEDIUM,True,1,,,True,44.0,28.7,59.7,False,2020,4.0
VET,Ferrari,49.0,83.51,5.0,660,23.0,SOFT,False,1,,,True,44.0,28.7,59.7,False,2020,11.0
STR,Racing Point,49.0,83.471,6.0,661,10.0,SOFT,False,1,,,True,44.0,28.7,59.7,False,2020,5.0
SAI,McLaren,49.0,83.089,7.0,662,8.0,MEDIUM,True,1,,,True,44.0,28.7,59.7,False,2020,7.0
ALB,Red Bull Racing,49.0,82.994,8.0,662,10.0,MEDIUM,True,1,,,True,44.0,28.7,59.7,False,2020,6.0
GAS,AlphaTauri,49.0,83.098,9.0,663,7.0,MEDIUM,True,1,,,True,44.0,28.7,59.7,False,2020,10.0
NOR,McLaren,49.0,83.232,10.0,664,5.0,MEDIUM,True,1,,,True,44.0,28.7,59.7,False,2020,8.0
RIC,Renault,49.0,82.976,11.0,664,14.0,SOFT,True,1,,,True,44.0,28.7,59.7,False,2020,13.0
KVY,AlphaTauri,49.0,82.977,12.0,665,4.0,MEDIUM,True,1,,,True,44.0,28.7,59.7,False,2020,12.0
MAG,Haas F1 Team,49.0,85.495,13.0,665,22.0,MEDIUM,False,1,,,True,44.0,28.7,59.7,False,2020,16.0
OCO,Renault,49.0,83.991,14.0,666,15.0,SOFT,True,1,,,True,44.0,28.7,59.7,False,2020,15.0
RUS,Williams,49.0,84.016,15.0,667,14.0,MEDIUM,True,1,,,True,44.0,28.7,59.7,False,2020,18.0
