LapNumber,LapTime,Year
31.0,70.897,2022
32.0,71.073,2022
33.0,71.636,2022
34.0,71.19,2022
35.0,71.173,2022
36.0,74.594,2022
37.0,86.913,2022
38.0,69.226,2022
39.0,69.636,2022
40.0,69.809,2022
41.0,69.971,2022
42.0,69.84,2022
43.0,69.863,2022
44.0,69.642,2022
45.0,69.766,2022
46.0,70.104,2022
47.0,69.989,2022
48.0,70.17,2022
49.0,70.244,2022
50.0,70.347,2022
51.0,70.232,2022
52.0,70.193,2022
53.0,70.828,2022
54.0,70.265,2022
55.0,70.109,2022
56.0,69.733,2022
57.0,69.843,2022
58.0,84.577,2022
59.0,106.133,2022
60.0,69.218,2022
61.0,67.804,2022
62.0,67.275,2022
63.0,67.938,2022
64.0,68.7,2022
65.0,68.58,2022
66.0,68.445,2022
67.0,68.537,2022
68.0,68.9,2022
69.0,68.873,2022
70.0,68.169,2022
71.0,68.539,2022
1.0,77.639,2023
2.0,115.479,2023
3.0,124.721,2023
4.0,69.691,2023
5.0,70.026,2023
6.0,70.156,2023
7.0,70.168,2023
8.0,69.967,2023
9.0,69.989,2023
10.0,69.856,2023
11.0,70.051,2023
12.0,69.833,2023
13.0,70.196,2023
14.0,73.573,2023
15.0,93.592,2023
16.0,79.611,2023
17.0,69.924,2023
18.0,70.002,2023
19.0,69.942,2023
20.0,70.16,2023
21.0,70.142,2023
22.0,70.337,2023
23.0,70.396,2023
24.0,73.519,2023
25.0,86.769,2023
26.0,68.929,2023
27.0,69.245,2023
28.0,69.251,2023
29.0,69.289,2023
30.0,69.373,2023
31.0,69.576,2023
32.0,69.603,2023
33.0,69.631,2023
34.0,69.779,2023
35.0,69.265,2023
36.0,69.367,2023
37.0,69.707,2023
38.0,69.568,2023
39.0,69.386,2023
40.0,69.431,2023
41.0,69.527,2023
42.0,69.511,2023
43.0,69.592,2023
44.0,69.678,2023
45.0,69.651,2023
46.0,69.563,2023
47.0,69.451,2023
48.0,69.419,2023
49.0,73.176,2023
50.0,86.268,2023
51.0,68.15,2023
52.0,68.342,2023
53.0,68.235,2023
54.0,68.25,2023
55.0,68.273,2023
56.0,68.35,2023
57.0,68.412,2023
58.0,68.489,2023
59.0,68.609,2023
60.0,68.535,2023
61.0,68.485,2023
62.0,68.567,2023
63.0,68.624,2023
64.0,68.692,2023
65.0,68.878,2023
66.0,68.601,2023
67.0,68.854,2023
68.0,69.216,2023
69.0,72.228,2023
70.0,87.83,2023
71.0,67.012,2023
1.0,72.05,2024
2.0,69.938,2024
3.0,69.857,2024
4.0,69.903,2024
5.0,70.005,2024
6.0,70.238,2024
7.0,70.22,2024
8.0,70.331,2024
9.0,70.6,2024
10.0,70.596,2024
11.0,70.562,2024
12.0,70.512,2024
13.0,70.955,2024
14.0,70.707,2024
15.0,71.028,2024
16.0,70.957,2024
17.0,70.981,2024
18.0,71.364,2024
19.0,71.515,2024
20.0,71.548,2024
21.0,71.3,2024
22.0,71.549,2024
23.0,74.679,2024
24.0,87.394,2024
25.0,69.766,2024
26.0,69.506,2024
27.0,69.451,2024
28.0,69.581,2024
29.0,69.696,2024
30.0,69.661,2024
31.0,69.696,2024
32.0,69.576,2024
33.0,69.455,2024
34.0,69.482,2024
35.0,69.958,2024
36.0,69.907,2024
37.0,70.12,2024
38.0,70.143,2024
39.0,70.258,2024
40.0,70.217,2024
41.0,71.114,2024
42.0,70.628,2024
43.0,70.904,2024
44.0,70.479,2024
45.0,70.349,2024
46.0,70.288,2024
47.0,70.658,2024
48.0,70.36,2024
49.0,70.543,2024
50.0,70.738,2024
51.0,73.86,2024
52.0,91.585,2024
53.0,68.772,2024
54.0,68.789,2024
55.0,69.213,2024
56.0,68.623,2024
57.0,68.975,2024
58.0,69.183,2024
59.0,70.646,2024
60.0,69.399,2024
61.0,70.003,2024
