LapNumber,LapTime,Year,LapTime_Zscore
1.0,75.229,2018,0.6027448049007404
2.0,69.911,2018,-0.1447192814913241
3.0,69.816,2018,-0.1580718742343187
4.0,69.706,2018,-0.17353277109462834
5.0,69.728,2018,-0.17044059172256762
6.0,69.617,2018,-0.18604204219069692
7.0,69.405,2018,-0.21583940704874888
8.0,69.401,2018,-0.21640162148003353
9.0,69.263,2018,-0.23579801935932992
10.0,69.32,2018,-0.22778646371353478
11.0,69.299,2018,-0.23073808947777383
12.0,69.306,2018,-0.22975421422302814
13.0,69.785,2018,-0.16242903607677045
14.0,69.133,2018,-0.254069988376061
15.0,87.553,2018,2.3349274676867138
16.0,93.857,2018,3.2209774113902823
17.0,68.687,2018,-0.3167568974642256
18.0,68.682,2018,-0.31745966550332994
19.0,68.736,2018,-0.30986977068099575
20.0,69.037,2018,-0.26756313472687526
21.0,68.445,2018,-0.3507708705569076
22.0,68.557,2018,-0.33502886648095465
23.0,68.451,2018,-0.34992754890998157
24.0,68.429,2018,-0.3530197282820423
25.0,68.365,2018,-0.36201515918258714
26.0,68.509,2018,-0.34177543965636276
27.0,68.351,2018,-0.3639829096920805
28.0,68.461,2018,-0.34852201283177087
29.0,68.784,2018,-0.30312319750558764
30.0,68.376,2018,-0.36046906949655483
31.0,68.302,2018,-0.37087003647530836
32.0,68.417,2018,-0.35470637157589435
33.0,68.475,2018,-0.34655426232227754
34.0,68.689,2018,-0.31647579024858424
35.0,68.594,2018,-0.32982838299157885
36.0,68.428,2018,-0.353160281889864
37.0,68.912,2018,-0.2851323357044999
38.0,68.815,2018,-0.29876603566313786
39.0,68.566,2018,-0.3337638840105656
40.0,68.719,2018,-0.31225918201395414
41.0,68.713,2018,-0.31310250366088016
42.0,68.471,2018,-0.3471164767535602
43.0,68.558,2018,-0.334888312873133
44.0,68.873,2018,-0.29061392640951905
45.0,68.371,2018,-0.3611718375356611
46.0,68.134,2018,-0.39448304258923683
47.0,68.181,2018,-0.38787702302165034
48.0,68.384,2018,-0.35934464063398747
49.0,68.203,2018,-0.38478484364958765
50.0,68.265,2018,-0.3760705199646861
51.0,68.037,2018,-0.4081167425478728
52.0,67.999,2018,-0.4134577796450722
53.0,68.212,2018,-0.3835198611791986
54.0,68.415,2018,-0.3549874787915357
55.0,68.291,2018,-0.37241612616134073
56.0,68.087,2018,-0.4010890621568233
57.0,68.055,2018,-0.4055867776070947
58.0,67.941,2018,-0.42160988889868906
59.0,67.825,2018,-0.43791410740592474
60.0,67.703,2018,-0.4550616475600864
61.0,67.925,2018,-0.4238587466238258
62.0,67.861,2018,-0.4328541775243686
63.0,67.828,2018,-0.4374924465824617
64.0,68.359,2018,-0.36285848082951316
65.0,68.042,2018,-0.40741397450876843
66.0,67.634,2018,-0.46475984649973556
67.0,67.558,2018,-0.4754419206941305
68.0,67.469,2018,-0.4879511917902011
69.0,67.449,2018,-0.4907622639466204
70.0,67.442,2018,-0.4917461392013681
71.0,67.623,2018,-0.46630593618576593
1.0,76.629,2019,0.7995198558501377
2.0,71.495,2019,0.07791763329713644
3.0,70.999,2019,0.008203043817920355
4.0,71.1,2019,0.022398958207840977
5.0,70.839,2019,-0.01428553343343877
6.0,70.436,2019,-0.07092863738529959
7.0,69.743,2019,-0.16833228760525257
8.0,70.574,2019,-0.05153223950600319
9.0,69.944,2019,-0.14008101243323098
10.0,69.871,2019,-0.15034142580416487
11.0,69.612,2019,-0.18674481022980327
12.0,69.564,2019,-0.1934913834052114
13.0,69.744,2019,-0.1681917339974309
14.0,69.7,2019,-0.17437609274155436
15.0,69.614,2019,-0.18646370301415993
16.0,69.252,2019,-0.2373441090453623
17.0,69.304,2019,-0.23003532143866948
18.0,69.217,2019,-0.24226348531909672
19.0,69.234,2019,-0.23987407398614036
20.0,69.273,2019,-0.23439248328112125
21.0,69.346,2019,-0.22413206991018736
22.0,69.187,2019,-0.24648009355372683
